ID,L1,L2,L3,N1,N2,N3,LA,NA
C40137,0.2029167,0.414574,0.3825109,0.2029167,0.414574,0.3825109,262.1113206,248.955748
C40139,0.3749577,0.34428,0.2807713,0.3749577,0.34428,0.2807713,264.0482343,249.0996941
C40141,0.3179378,0.390894,0.2911646,0.3179378,0.390894,0.2911646,263.5157248,248.0835767
C40143,0.192412,0.3116594,0.4959314,0.192412,0.3116594,0.4959314,263.1613676,248.4357367
C40145,0.1706438,0.377104,0.4522478,0.1706438,0.377104,0.4522478,263.1726385,247.9054612
C40147,0.1523231,0.377979,0.4697053,0.1523231,0.377979,0.4697053,262.934211,247.699976
C40149,0.2035098,0.418791,0.3776956,0.2035098,0.418791,0.3776956,262.153854,248.5141851
C4015,0.2408342,0.416904,0.3422606,0.2408342,0.416904,0.3422606,263.356606,247.259964
C40151,0.1825843,0.368399,0.4490113,0.1825843,0.368399,0.4490113,263.5007865,248.1696976
C40153,0.1948867,0.399768,0.405345,0.1948867,0.399768,0.405345,263.5730014,247.9304074
C4017,0.2605092,0.377603,0.361876,0.2605092,0.377603,0.361876,263.2704207,247.4732893
C4019,0.2305717,0.315054,0.4543679,0.2305717,0.315054,0.4543679,262.4033427,248.1654795
C4021,0.2384993,0.366704,0.3948012,0.2384993,0.366704,0.3948012,263.9371887,247.8374502
C4023,0.4190584,0.337059,0.243889,0.4190584,0.337059,0.243889,262.7139542,247.8962349
C4025,0.1665902,0.341561,0.4918532,0.1665902,0.341561,0.4918532,262.5420334,246.9435543
C4027,0.4013518,0.340577,0.2580819,0.4013518,0.340577,0.2580819,262.9898006,246.9193332
C41001,0.1593195,0.333737,0.506949,0.1593195,0.333737,0.506949,262.2001027,246.3311722
C41003,0.1156194,0.2050415,0.6793451,0.1156194,0.2050415,0.6793451,262.6653084,248.8805412
C41005,0.1304938,0.267157,0.602372,0.1304938,0.267157,0.602372,262.5220045,248.3364436
C41007,0.154116,0.290147,0.5557375,0.154116,0.290147,0.5557375,262.3181934,248.5971364
C41009,0.163335,0.341407,0.4952602,0.163335,0.341407,0.4952602,262.1015334,248.7055633
C41011,0.1864504,0.339743,0.4737878,0.1864504,0.339743,0.4737878,263.4842722,247.3172942
C41013,0.2116914,0.367446,0.4208639,0.2116914,0.367446,0.4208639,262.4462079,247.4254036
C41015,0.1771274,0.306386,0.516494,0.1771274,0.306386,0.516494,262.3915659,247.8545238
C41017,0.1434259,0.274997,0.5815757,0.1434259,0.274997,0.5815757,262.8864853,248.7474424
C41019,0.1869497,0.338276,0.4747907,0.1869497,0.338276,0.4747907,261.7346108,246.5545265
C41021,0.1764202,0.377938,0.4456368,0.1764202,0.377938,0.4456368,264.0652746,248.5657604
C41023,0.1743143,0.335029,0.4906441,0.1743143,0.335029,0.4906441,263.8116926,247.6493065
C41025,0.1685963,0.360197,0.4712067,0.1685963,0.360197,0.4712067,263.3397164,247.3814541
C41027,0.2790709,0.290006,0.4309328,0.2790709,0.290006,0.4309328,263.6975824,248.3025875
C41029,0.1961063,0.300707,0.5031739,0.1961063,0.300707,0.5031739,261.7895593,248.3293951
C41031,0.2622939,0.317256,0.4204649,0.2622939,0.317256,0.4204649,263.1340989,247.6962487
C41033,0.1962968,0.337666,0.4660218,0.1962968,0.337666,0.4660218,262.0756833,248.8738557
C41035,0.2113395,0.326182,0.4624821,0.2113395,0.326182,0.4624821,262.8670655,249.2676883
C41037,0.2276152,0.350791,0.4215767,0.2276152,0.350791,0.4215767,263.3293154,246.9980195
C41039,0.1661918,0.282036,0.55177,0.1661918,0.282036,0.55177,262.8029225,249.5280294
C41041,0.1881356,0.321029,0.490824,0.1881356,0.321029,0.490824,262.2174601,247.4030423
C41043,0.1858413,0.323912,0.490255,0.1858413,0.323912,0.490255,263.140624,247.5896411
C41045,0.3189383,0.320875,0.3601748,0.3189383,0.320875,0.3601748,263.4435543,248.7688046
C41047,0.2469804,0.299683,0.4533374,0.2469804,0.299683,0.4533374,261.7296247,247.0746665
C41049,0.341117,0.359936,0.2989491,0.341117,0.359936,0.2989491,262.7993712,248.0456609
C41051,0.1691485,0.2339677,0.5968705,0.1691485,0.2339677,0.5968705,262.5954618,249.0400939
C41053,0.1705085,0.290467,0.5390338,0.1705085,0.290467,0.5390338,261.9327884,248.6424972
C41055,0.1509527,0.359193,0.4898568,0.1509527,0.359193,0.4898568,263.637766,247.3800521
C41057,0.1889002,0.347136,0.4639652,0.1889002,0.347136,0.4639652,263.1703481,247.7836981
C41059,0.2687082,0.31478,0.4165153,0.2687082,0.31478,0.4165153,261.8321205,247.8726494
C41061,0.1590963,0.344073,0.4968232,0.1590963,0.344073,0.4968232,263.590505,248.5032309
C41063,0.1490356,0.337524,0.5134508,0.1490356,0.337524,0.5134508,262.7400557,248.1834207
C41065,0.2243811,0.322952,0.4526659,0.2243811,0.322952,0.4526659,263.0150935,248.3396856
C41067,0.1596855,0.240403,0.599924,0.1596855,0.240403,0.599924,261.5444735,247.5495014
C41069,0.172144,0.377404,0.4504598,0.172144,0.377404,0.4504598,263.3502526,248.5066003
C41071,0.2039177,0.30824,0.4878493,0.2039177,0.30824,0.4878493,263.1883549,247.2966004
C42001,0.1791124,0.417951,0.4029399,0.1791124,0.417951,0.4029399,262.7158623,248.6119524
C42003,0.1200595,0.3228592,0.5570811,0.1200595,0.3228592,0.5570811,262.3728795,247.9336372
C42005,0.175741,0.466689,0.3575632,0.175741,0.466689,0.3575632,263.708233,247.7950636
C42007,0.1522363,0.397037,0.4507203,0.1522363,0.397037,0.4507203,262.7797157,248.0139547
C42009,0.1947214,0.4715303,0.3337489,0.1947214,0.4715303,0.3337489,261.9708709,247.3414149
C42011,0.2296726,0.389755,0.3805571,0.2296726,0.389755,0.3805571,263.7862952,248.6369109
C42013,0.1674709,0.459304,0.373235,0.1674709,0.459304,0.373235,262.4677344,249.1901237
C42015,0.1687836,0.463317,0.3678817,0.1687836,0.463317,0.3678817,263.8815768,247.1884945
C42017,0.1170921,0.3341183,0.5487908,0.1170921,0.3341183,0.5487908,262.6358361,246.8570798
C42019,0.1163478,0.361871,0.5217736,0.1163478,0.361871,0.5217736,264.0741311,247.4713347
C42021,0.1679027,0.440441,0.3916679,0.1679027,0.440441,0.3916679,263.5884454,247.1760301
C42023,0.1580884,0.446782,0.3951171,0.1580884,0.446782,0.3951171,263.3421647,248.6768676
C42025,0.1817057,0.450663,0.3676275,0.1817057,0.450663,0.3676275,263.4717052,248.8820629
C42027,0.1112746,0.3387481,0.5499766,0.1112746,0.3387481,0.5499766,262.4630001,247.8849862
C42029,0.1184721,0.280398,0.6011523,0.1184721,0.280398,0.6011523,262.5129438,246.8416153
C42031,0.1854697,0.446305,0.3682305,0.1854697,0.446305,0.3682305,262.4253042,247.0196615
C42033,0.2018991,0.480201,0.3178997,0.2018991,0.480201,0.3178997,263.4453184,248.7370167
C42035,0.1946651,0.446682,0.3586628,0.1946651,0.446682,0.3586628,262.1836348,248.3625894
C42037,0.1823475,0.437453,0.3802123,0.1823475,0.437453,0.3802123,261.9121772,247.3459521
C42039,0.1747484,0.438903,0.3863559,0.1747484,0.438903,0.3863559,262.6361232,248.0620725
C42041,0.1326913,0.360764,0.5065449,0.1326913,0.360764,0.5065449,262.0538088,246.7516284
