ID,Total Population,% Male,% Female,% Hispanic,% White,% Black,% Asian,% Native Americans,% Hawaiian/Pacific Islander,% Other,% Less Than High School,% High School/GED,% More Than High School,% Speak English Not Well,% Foreign-Born entered U.S. after 2010,% Foreign-Born entered U.S. 1990-2009,% Foreign-Born entered U.S. after 1990,% Foreign-Born entered U.S. before 1990,% Below 100 Poverty,% Below 150 Poverty,% SNAP/Food Stamps,Median HH Income,% Employed,% Unemployed,% Not in Labor Force,% Management/Professional Occupation,% Service Occupation,% Sales/Office Occupation,% Natural Resources/Construction/Maitanance Occupation,% Military Occupation,% Production/Transportation/Moving Occupation,% No Health Insurance
39101,65483,0.532,0.468,0.025,0.898,0.053,0.005,0.002,0.000,0.042,0.129,0.425,0.446,0.087,0.221,0.359,0.580,0.153,0.166,0.286,0.193,44708.000,0.458,0.041,0.296,0.280,0.171,0.206,0.091,0.001,0.251,0.072
39103,176362,0.495,0.505,0.019,0.956,0.015,0.012,0.001,0.000,0.015,0.060,0.317,0.623,0.082,0.088,0.340,0.428,0.410,0.062,0.105,0.063,71595.000,0.617,0.023,0.156,0.401,0.144,0.248,0.079,0.000,0.128,0.052
39105,23234,0.496,0.504,0.006,0.974,0.012,0.000,0.001,0.000,0.012,0.156,0.440,0.404,0.000,0.100,0.040,0.140,0.210,0.225,0.327,0.251,42105.000,0.449,0.055,0.273,0.273,0.192,0.213,0.152,0.000,0.171,0.083
39107,40723,0.503,0.497,0.018,0.971,0.007,0.004,0.000,0.004,0.014,0.073,0.484,0.443,0.071,0.179,0.276,0.456,0.252,0.074,0.158,0.073,57052.000,0.625,0.026,0.135,0.269,0.135,0.195,0.108,0.000,0.293,0.048
39109,104081,0.495,0.505,0.016,0.941,0.021,0.013,0.001,0.000,0.024,0.104,0.374,0.522,0.202,0.172,0.331,0.503,0.208,0.099,0.200,0.086,54568.000,0.568,0.034,0.176,0.316,0.161,0.217,0.088,0.000,0.218,0.064
39111,14239,0.501,0.499,0.005,0.993,0.001,0.001,0.000,0.000,0.004,0.121,0.519,0.360,0.077,0.000,0.364,0.364,0.327,0.197,0.290,0.136,43299.000,0.435,0.028,0.269,0.244,0.133,0.237,0.197,0.000,0.191,0.102
39113,531987,0.481,0.519,0.027,0.732,0.206,0.020,0.002,0.000,0.039,0.101,0.281,0.618,0.179,0.216,0.415,0.631,0.205,0.179,0.276,0.156,47045.000,0.531,0.048,0.206,0.373,0.186,0.233,0.061,0.002,0.145,0.080
39115,14773,0.501,0.499,0.009,0.932,0.034,0.002,0.001,0.000,0.031,0.133,0.449,0.418,0.123,0.091,0.149,0.240,0.257,0.215,0.355,0.198,40276.000,0.454,0.028,0.274,0.311,0.144,0.184,0.155,0.001,0.204,0.099
39117,34935,0.500,0.500,0.014,0.973,0.007,0.000,0.001,0.000,0.018,0.121,0.457,0.421,0.034,0.037,0.162,0.199,0.684,0.097,0.201,0.121,52767.000,0.577,0.027,0.195,0.275,0.185,0.205,0.113,0.000,0.221,0.062
39119,85933,0.485,0.515,0.010,0.921,0.031,0.004,0.002,0.000,0.041,0.128,0.416,0.456,0.122,0.268,0.223,0.491,0.224,0.166,0.285,0.207,43325.000,0.527,0.040,0.222,0.269,0.190,0.249,0.101,0.000,0.190,0.073
